"year","STATION_NAME","PRCP","LATITUDE","LONGITUDE","ELEVATION","TMAX","TMIN","del_TT_Deg_Celsius","DMI","Nino34","u_wind_200","u_wind_600","u_wind_850","v_wind_200","v_wind_600","v_wind_850","X20E","X70E","X80E","X100E","X120E","X140E","X160E","X120W","X40W","X10W","NAO","EA","WP","EPNP","PNA","EAWR","SCA","TNH","POL","SolarFlux","TempAnomaly"
1978,"NAGPUR SONEGAON IN",10,21.1,79.05,310,320,240,-20.92499128,13,-0.43,-12.89499152,1.6200081555,6.570008045,0.010008192,-2.104991761,-4.4949917075,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"LUCKNOW AMAUSI IN",7.5,26.75,80.883,128,330,260,-19.184991315,13,-0.29,-2.7099917475,-1.754991769,0.6950081765,-0.984991786,0.96000817,0.630008178,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"DIBRUGARH MOHANBAR IN",5,27.483,95.017,111,325,245,-20.47749129,17,-0.29,2.8450081285,0.5900081785,1.5550081575,-1.569991773,2.530008135,2.105008145,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"NEW DELHI SAFDARJUN IN",5,28.583,77.2,216,340,260,-19.7499913,21,-0.43,-1.419991776,-1.469991775,1.830008151,-1.289991779,0.280008186,-1.149991782,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"GOA PANJIM IN",305,15.483,73.817,60,290,240,-22.29499125,21,-0.43,-17.55499142,4.295008096,11.095007945,-1.1549917825,-1.519991774,-2.329991756,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"CHITRADURGA IN",0,14.233,76.433,733,280,210,-22.04499125,13,-0.29,-17.99999141,5.230008075,11.48000794,-0.889991788,-1.819991767,-2.539991751,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"MACHILIPATNAM IN",10,16.2,81.15,3,330,250,-22.30749125,13,-0.43,-17.68999141,4.800008085,8.360008005,-0.5049917965,-1.5549917735,-2.9949917415,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"AHMADABAD IN",0,23.067,72.633,55,330,250,-20.27749129,21,-0.36,-11.609991545,-0.3649917995,5.770008063,-0.579991795,-0.899991788,0.890008172,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"SURAT IN",0,21.2,72.833,12,320,250,-20.65249128,13,-0.29,-15.344991465,1.615008156,9.1800079865,-0.7349917915,-0.2049918035,0.140008189,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"THIRUVANANTHAPURAM IN",10,8.483,76.95,64,300,230,-23.97999121,21,-0.29,-22.344991305,8.7300079965,11.87000793,-1.669991771,-1.2849917795,-4.6299917045,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"COIMBATORE PEELAMED IN",0,11.033,77.05,399,310,210,-23.56999122,21,-0.43,-21.24999133,6.36000805,11.73000793,-1.839991767,-0.569991795,-4.8199917,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"AGARTALA IN",20,23.883,91.25,16,320,250,-20.40999129,13,-0.29,-5.439991686,-2.839991745,-1.819991767,-1.499991775,2.180008143,3.850008106,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"PATNA IN",0,25.6,85.1,60,330,260,-19.9249913,21,-0.29,-7.739991635,-4.8449917,-2.779991746,-1.429991776,0.3800081835,2.1300081445,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
1978,"PBO ANANTAPUR IN",0,14.583,77.633,364,330,240,-22.15999125,13,-0.29,-17.68999141,5.100008078,11.18000794,-0.739991792,-1.819991767,-3.169991737,0.21,0,-0.02,-0.26,-0.42,-0.29,-0.08,0.08,0.38,0.31,-1.34,-0.165,-0.08,1.62,0.765,-0.805,0.37,-0.625,1.73,1459.5,6
